"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay",
1998,1,1,17,6,1998-01-17,"WN",19393,"WN","N520","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",5.00,"0720","0837",3.00,"0840","0840",0.00,0.00,0.00,0,"0800-0859",0.00,"",0.00,145.00,145.00,137.00,1.00,872.00,4,,,,,,
1998,1,1,18,7,1998-01-18,"WN",19393,"WN","N302","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",6.00,"0721","0828",2.00,"0840","0830",-10.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,145.00,135.00,127.00,1.00,872.00,4,,,,,,
1998,1,1,19,1,1998-01-19,"WN",19393,"WN","N315","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",5.00,"0720","0828",3.00,"0840","0831",-9.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,145.00,136.00,128.00,1.00,872.00,4,,,,,,
1998,1,1,20,2,1998-01-20,"WN",19393,"WN","N372","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",12.00,"0727","0833",3.00,"0840","0836",-4.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,145.00,141.00,126.00,1.00,872.00,4,,,,,,
1998,1,1,21,3,1998-01-21,"WN",19393,"WN","N367","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",6.00,"0721","0833",3.00,"0840","0836",-4.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,145.00,141.00,132.00,1.00,872.00,4,,,,,,
1998,1,1,22,4,1998-01-22,"WN",19393,"WN","N318","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0725",10.00,10.00,0.00,0,"0700-0759",7.00,"0732","0843",4.00,"0840","0847",7.00,7.00,0.00,0,"0800-0859",0.00,"",0.00,145.00,142.00,131.00,1.00,872.00,4,,,,,,
1998,1,1,23,5,1998-01-23,"WN",19393,"WN","N694","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",19.00,"0734","0835",4.00,"0840","0839",-1.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,145.00,144.00,121.00,1.00,872.00,4,,,,,,
1998,1,1,24,6,1998-01-24,"WN",19393,"WN","N373","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",5.00,"0720","0826",4.00,"0840","0830",-10.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,145.00,135.00,126.00,1.00,872.00,4,,,,,,
1998,1,1,25,7,1998-01-25,"WN",19393,"WN","N302","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",5.00,"0720","0833",2.00,"0840","0835",-5.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,145.00,140.00,133.00,1.00,872.00,4,,,,,,
1998,1,1,26,1,1998-01-26,"WN",19393,"WN","N307","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",9.00,"0724","0837",3.00,"0840","0840",0.00,0.00,0.00,0,"0800-0859",0.00,"",0.00,145.00,145.00,133.00,1.00,872.00,4,,,,,,
1998,1,1,27,2,1998-01-27,"WN",19393,"WN","N655","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",7.00,"0722","0833",3.00,"0840","0836",-4.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,145.00,141.00,131.00,1.00,872.00,4,,,,,,
1998,1,1,28,3,1998-01-28,"WN",19393,"WN","N329","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0817",62.00,62.00,1.00,4,"0700-0759",14.00,"0831","0942",5.00,"0840","0947",67.00,67.00,1.00,4,"0800-0859",0.00,"",0.00,145.00,150.00,131.00,1.00,872.00,4,,,,,,
1998,1,1,29,4,1998-01-29,"WN",19393,"WN","N654","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",8.00,"0723","0840",3.00,"0840","0843",3.00,3.00,0.00,0,"0800-0859",0.00,"",0.00,145.00,148.00,137.00,1.00,872.00,4,,,,,,
1998,1,1,30,5,1998-01-30,"WN",19393,"WN","N361","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0857",102.00,102.00,1.00,6,"0700-0759",6.00,"0903","1012",3.00,"0840","1015",95.00,95.00,1.00,6,"0800-0859",0.00,"",0.00,145.00,138.00,129.00,1.00,872.00,4,,,,,,
1998,1,1,31,6,1998-01-31,"WN",19393,"WN","N390","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",9.00,"0724","0842",3.00,"0840","0845",5.00,5.00,0.00,0,"0800-0859",0.00,"",0.00,145.00,150.00,138.00,1.00,872.00,4,,,,,,
1998,1,1,1,4,1998-01-01,"WN",19393,"WN","N305","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1310","1310",0.00,0.00,0.00,0,"1300-1359",5.00,"1315","1423",3.00,"1435","1426",-9.00,0.00,0.00,-1,"1400-1459",0.00,"",0.00,145.00,136.00,128.00,1.00,872.00,4,,,,,,
1998,1,1,2,5,1998-01-02,"WN",19393,"WN","N677","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1310","1310",0.00,0.00,0.00,0,"1300-1359",8.00,"1318","1416",2.00,"1435","1418",-17.00,0.00,0.00,-2,"1400-1459",0.00,"",0.00,145.00,128.00,118.00,1.00,872.00,4,,,,,,
1998,1,1,3,6,1998-01-03,"WN",19393,"WN","N383","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1310","1512",122.00,122.00,1.00,8,"1300-1359",6.00,"1518","1614",4.00,"1435","1618",103.00,103.00,1.00,6,"1400-1459",0.00,"",0.00,145.00,126.00,116.00,1.00,872.00,4,,,,,,
1998,1,1,4,7,1998-01-04,"WN",19393,"WN","N315","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1310","1310",0.00,0.00,0.00,0,"1300-1359",9.00,"1319","1427",3.00,"1435","1430",-5.00,0.00,0.00,-1,"1400-1459",0.00,"",0.00,145.00,140.00,128.00,1.00,872.00,4,,,,,,
1998,1,1,5,1,1998-01-05,"WN",19393,"WN","N664","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1310","1315",5.00,5.00,0.00,0,"1300-1359",12.00,"1327","1435",4.00,"1435","1439",4.00,4.00,0.00,0,"1400-1459",0.00,"",0.00,145.00,144.00,128.00,1.00,872.00,4,,,,,,
1998,1,1,6,2,1998-01-06,"WN",19393,"WN","N692","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1310","1322",12.00,12.00,0.00,0,"1300-1359",10.00,"1332","1430",5.00,"1435","1435",0.00,0.00,0.00,0,"1400-1459",0.00,"",0.00,145.00,133.00,118.00,1.00,872.00,4,,,,,,
